株式会社　ふれあい広場,18
株式会社　リボーン,18
株式会社ＢＩＳＣＵＳＳ,18
株式会社OA総研,18
株式会社ＲＡＲＥＣＲＥＷ,18
株式会社あおぞら,18
株式会社アクア,18
株式会社アコンプリシー,18
株式会社ウェルライフKAWADA,18
株式会社おかもと,18
株式会社かがやき,18
株式会社クオレ,18
株式会社サンライズ,18
株式会社ふれあいの杜,18
株式会社ほほえみ,18
株式会社メディカルケアシステム,18
株式会社やすらぎ,18
株式会社リビングケア,18
株式会社元気グループホールディングス,18
合同会社ひまわり,18
国家公務員共済組合連合会,18
社会医療法人　明和会,18
社会医療法人城西医療財団,18
社会医療法人仁生会,18
社会医療法人青洲会,18
社会福祉法人　あけあい会,18
社会福祉法人　一燈園,18
社会福祉法人　元気村,18
社会福祉法人　正吉福祉会,18
社会福祉法人　中央会,18
社会福祉法人しなのさわやか福祉会,18
社会福祉法人たんぽぽ福祉会,18
社会福祉法人ハッピーネット,18
社会福祉法人ひまわり福祉会,18
社会福祉法人わとなーる,18
社会福祉法人旭会,18
社会福祉法人一寿会,18
社会福祉法人一乗谷友愛会,18
社会福祉法人栄光会,18
社会福祉法人横浜市社会福祉協議会,18
社会福祉法人沖縄県社会福祉事業団,18
社会福祉法人恩賜財団済生会支部神奈川県済生会,18
社会福祉法人楽寿会,18
社会福祉法人桐和会,18
社会福祉法人欣彰会,18
社会福祉法人釧路啓生会,18
社会福祉法人健生会,18
社会福祉法人光誠会,18
社会福祉法人宏仁会,18
社会福祉法人幸生会,18
社会福祉法人高瀬会,18
社会福祉法人三笠苑,18
社会福祉法人三恵会,18
社会福祉法人慈徳会,18
社会福祉法人寿栄会,18
社会福祉法人寿楽園,18
社会福祉法人寿福祉会,18
社会福祉法人尚生会,18
社会福祉法人常盤会,18
社会福祉法人新井頸南福祉会,18
社会福祉法人西春日井福祉会,18
社会福祉法人大和会,18
社会福祉法人刀圭会,18
社会福祉法人隼人会,18
社会福祉法人北海道社会事業協会,18
社会福祉法人緑寿会,18
社会福祉法人京福会,18
松江保健生活協同組合,18
生活協同組合おおさかパルコープ,18
特定非営利活動法人あじさい,18
日本介護事業株式会社,18
富士オフィス＆ライフサービス株式会社,18
北医療生活協同組合,18
北海道厚生農業協同組合連合会,18
有限会社あおぞら,18
有限会社クローバー,18
有限会社はなまる,18
有限会社ハピネス,18
有限会社南州メディカル,18
ＤＣＭ株式会社,17
JR九州シニアライフサポート株式会社,17
ながおか医療生活協同組合,17
みとうメディカル株式会社,17
ライフサポート株式会社,17
医療法人　敬愛会,17
医療法人　平成会,17
医療法人あすか会,17
医療法人やわらぎ会,17
医療法人社団　湘風会,17
医療法人社団いずみ会,17
医療法人社団敬仁会,17
医療法人社団星晶会,17
医療法人社団平成会,17
医療法人社団明寿会,17
医療法人社団和風会,17
医療法人寿光会,17
医療法人春陽会,17
医療法人泰山会,17
医療法人美湖会,17
沖縄医療生活協同組合,17
株式会社　N・フィールド,17
株式会社　やまねメディカル,17
株式会社　ライフケア,17
株式会社　縁,17
株式会社　太陽,17
株式会社あすか,17
株式会社エクシオジャパン,17
株式会社たんぽぽ,17
株式会社ベストケア,17
株式会社やまねメディカル,17
株式会社ゆず,17
株式会社ロジケア,17
株式会社新生メディカル,17
株式会社青山,17
株式会社八神製作所,17
合同会社結,17
社会医療法人健康会,17
社会医療法人財団　白十字会,17
社会医療法人博愛会,17
社会福祉法人　あすなろ会,17
社会福祉法人　恩徳福祉会,17
社会福祉法人　薫風会,17
社会福祉法人　慈徳会,17
社会福祉法人　寿光会,17
社会福祉法人　秀峯会,17
社会福祉法人　春秋会,17
社会福祉法人　伸こう福祉会,17
社会福祉法人　真寿会,17
社会福祉法人　大崎市社会福祉協議会,17
社会福祉法人　京都福祉サービス協会,17
社会福祉法人あかね会,17
社会福祉法人あと会,17
社会福祉法人イエス団,17
社会福祉法人エンゼル福祉会,17
社会福祉法人ノマド福祉会,17
社会福祉法人パートナー,17
社会福祉法人みどりの里,17
社会福祉法人もくせい会,17
社会福祉法人愛の会,17
社会福祉法人旭川福祉事業会,17
社会福祉法人恩賜財団済生会支部愛媛県済生会,17
社会福祉法人吉田福祉会,17
社会福祉法人暁会,17
社会福祉法人恵光会,17
社会福祉法人恵心会,17
社会福祉法人恵仁福祉協会,17
社会福祉法人恵和福祉会,17
社会福祉法人県央福祉会,17
社会福祉法人光寿会,17
社会福祉法人江刺寿生会,17
社会福祉法人江寿会,17
社会福祉法人桜井の里福祉会,17
社会福祉法人慈悲庵,17
社会福祉法人慈風会,17
社会福祉法人松本市社会福祉協議会,17
社会福祉法人章佑会,17
社会福祉法人上越あたご福祉会,17
社会福祉法人真寿会,17
社会福祉法人親愛会,17
社会福祉法人清栄会,17
社会福祉法人清明会,17
社会福祉法人誠幸会,17
社会福祉法人双和会,17
社会福祉法人村上岩船福祉会,17
社会福祉法人大志会,17
社会福祉法人大谷会,17
社会福祉法人長陽会,17
社会福祉法人典人会,17
社会福祉法人博仁会,17
社会福祉法人八起会,17
社会福祉法人兵庫県社会福祉事業団,17
社会福祉法人北養会,17
社会福祉法人与謝郡福祉会,17
社会福祉法人緑山会,17
社会福祉法人福祉の里,17
生活協同組合パルシステム東京,17
生活協同組合ユーコープ,17
青森保健生活協同組合,17
川崎医療生活協同組合,17
徳島健康生活協同組合,17
富山医療生活協同組合,17
北九州ヘルスケアサービス株式会社,17
有限会社陽だまり,17
福島県厚生農業協同組合連合会,17
（株）ニチイ学館,16
ウェルコンサル株式会社,16
ソネット株式会社,16
たくみ株式会社,16
ハートサービス株式会社,16
ふくしま未来農業協同組合,16
ベルメディカルケア株式会社,16
ほほえみ株式会社,16
メディカル・ケア・サービス東北株式会社,16
メディカル・ケア・サービス北海道株式会社,16
医療法人　弘仁会,16
医療法人　真誠会,16
医療法人あすか,16
医療法人ひまわり会,16
医療法人杏園会,16
医療法人恵愛会,16
医療法人慈恵会,16
医療法人社団三喜会,16
医療法人社団藤聖会,16
医療法人社団白寿会,16
医療法人社団林医院,16
医療法人清友会,16
医療法人大泉会,16
医療法人田中会,16
医療法人道志社,16
医療法人富士たちばなクリニック,16
医療法人羊蹄会,16
医療法人晴風園,16
株式会社　エクセレントケアシステム,16
株式会社ｔｔｔ,16
株式会社あかつき,16
株式会社アニスト,16
株式会社アースケア,16
株式会社かんきょう,16
株式会社キート,16
株式会社ケアプラス,16
株式会社コンシェルジュ24,16
株式会社サンメディックス,16
株式会社ひまわりケアサービス,16
株式会社ファイブシーズヘルスケア,16
株式会社フルケア,16
株式会社へいあん,16
株式会社ベストライフ中部,16
株式会社みらい,16
株式会社ミレニアム,16
株式会社メディカルシャトー,16
株式会社ゆとり,16
株式会社ユニバーサル山形,16
株式会社ユニマット　リタイアメント・コミュニティ,16
株式会社一期一会,16
株式会社樫の木,16
株式会社宮城登米広域介護サービス,16
株式会社社会福祉総合研究所,16
株式会社若武者ケア,16
株式会社心和,16
株式会社長谷工シニアウェルデザイン,16
株式会社日本ヒューマンサポート,16
株式会社悠,16
宮崎医療生活協同組合,16
敬愛会,16
合同会社なごみ,16
社会医療法人ペガサス,16
社会医療法人輝城会,16
社会医療法人財団董仙会,16
社会医療法人同仁会,16
社会医療法人道東勤労者医療協会,16
社会福祉法人　愛誠会,16
社会福祉法人　横浜市社会福祉協議会,16
社会福祉法人　敬和会,16
社会福祉法人　兼愛会,16
社会福祉法人　年長者の里,16
社会福祉法人　博友会,16
社会福祉法人　苗場福祉会,16
社会福祉法人　平成記念会,16
社会福祉法人　北秋田市社会福祉協議会,16
社会福祉法人いじみの福祉会,16
社会福祉法人おかざき福祉会,16
社会福祉法人すばる,16
社会福祉法人はぴねす福祉会,16
社会福祉法人はまなす会,16
社会福祉法人ふたば会,16
社会福祉法人ほたか会,16
社会福祉法人みどりの風,16
社会福祉法人みねやま福祉会,16
社会福祉法人むつみ福祉会,16
社会福祉法人わかたけ共済部,16
社会福祉法人育心会,16
社会福祉法人奥州いさわ会,16
社会福祉法人横浜社会福祉協会,16
社会福祉法人恩賜財団東京都同胞援護会,16
社会福祉法人皆楽園,16
社会福祉法人玉美福祉会,16
社会福祉法人桐栄会,16
社会福祉法人桑の実会,16
社会福祉法人恒和会,16
社会福祉法人高陽会,16
社会福祉法人三愛会,16
社会福祉法人七日会,16
社会福祉法人手稲ロータス会,16
社会福祉法人寿老園老人ホーム,16
社会福祉法人十日町福祉会,16
社会福祉法人心愛会,16
社会福祉法人新潟市社会福祉協議会,16
社会福祉法人新清会,16
社会福祉法人成寿会,16
社会福祉法人清寿会,16
社会福祉法人清水福祉会,16
社会福祉法人聖徳園,16
社会福祉法人聖隷会,16
社会福祉法人青森社会福祉振興団,16
社会福祉法人静岡市社会福祉協議会,16
社会福祉法人多摩同胞会,16
社会福祉法人長生会,16
社会福祉法人帝塚山福祉会,16
社会福祉法人報徳会,16
社会福祉法人蓬莱会,16
社会福祉法人豊岡市社会福祉協議会,16
社会福祉法人豊田市社会福祉協議会,16
社会福祉法人豊悠福祉会,16
社会福祉法人弥勒会,16
社会福祉法人悠々会,16
社会福祉法人陽翔会,16
社会福祉法人和光福祉会,16
湘南乃えん株式会社,16
総合ケア株式会社,16
大阪きづがわ医療福祉生活協同組合,16
特定非営利活動法人のぞみ,16
尼崎医療生活協同組合,16
